country,country_name,aggregation,data_month,year,month,gas,emissionsQuantity,sector,subsector
VNM,Vietnam,sectors,2021-06,2021,6,co2,9420315.653164351,manufacturing,
VNM,Vietnam,sectors,2021-06,2021,6,co2,57944.30843910984,mineral-extraction,
VNM,Vietnam,sectors,2021-06,2021,6,co2,12421747.08780824,power,
VNM,Vietnam,sectors,2021-06,2021,6,co2,2633739.327088125,transportation,
VNM,Vietnam,sectors,2021-06,2021,6,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-07,2021,7,co2,503674.9550065928,agriculture,
VNM,Vietnam,sectors,2021-07,2021,7,co2,1173577.2602600001,buildings,
VNM,Vietnam,sectors,2021-07,2021,7,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-07,2021,7,co2,5496484.174187997,forestry-and-land-use,
VNM,Vietnam,sectors,2021-07,2021,7,co2,1349347.5072678046,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-07,2021,7,co2,9597407.405004675,manufacturing,
VNM,Vietnam,sectors,2021-07,2021,7,co2,53631.94543634364,mineral-extraction,
VNM,Vietnam,sectors,2021-07,2021,7,co2,12640307.651049841,power,
VNM,Vietnam,sectors,2021-07,2021,7,co2,2639254.057147203,transportation,
VNM,Vietnam,sectors,2021-07,2021,7,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-08,2021,8,co2,523486.00231809774,agriculture,
VNM,Vietnam,sectors,2021-08,2021,8,co2,1173602.92338,buildings,
VNM,Vietnam,sectors,2021-08,2021,8,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-08,2021,8,co2,5498009.346042582,forestry-and-land-use,
VNM,Vietnam,sectors,2021-08,2021,8,co2,1349347.5072678046,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-08,2021,8,co2,9453824.259347646,manufacturing,
VNM,Vietnam,sectors,2021-08,2021,8,co2,49167.865593237206,mineral-extraction,
VNM,Vietnam,sectors,2021-08,2021,8,co2,12551851.227120241,power,
VNM,Vietnam,sectors,2021-08,2021,8,co2,2468060.016665907,transportation,
VNM,Vietnam,sectors,2021-08,2021,8,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-09,2021,9,co2,634749.16387953,agriculture,
VNM,Vietnam,sectors,2021-09,2021,9,co2,1135746.9389,buildings,
VNM,Vietnam,sectors,2021-09,2021,9,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-09,2021,9,co2,5498715.330275987,forestry-and-land-use,
VNM,Vietnam,sectors,2021-09,2021,9,co2,1349347.5072678046,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-09,2021,9,co2,9107007.33336576,manufacturing,
VNM,Vietnam,sectors,2021-09,2021,9,co2,53256.337556820785,mineral-extraction,
VNM,Vietnam,sectors,2021-09,2021,9,co2,11842014.059705358,power,
VNM,Vietnam,sectors,2021-09,2021,9,co2,2391564.8404936288,transportation,
VNM,Vietnam,sectors,2021-09,2021,9,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-10,2021,10,co2,707826.1939579933,agriculture,
VNM,Vietnam,sectors,2021-10,2021,10,co2,1179858.9429300001,buildings,
VNM,Vietnam,sectors,2021-10,2021,10,co2,0.0,fluorinated-gases,
