source_id,country,year,gas,latitude,longitude,sector,subsector,asset_type,source_type,annual_emissions_quantity
32439388,VNM,2026,co2,20.5297578746561,105.866851199166,manufacturing,cement,integrated dry,point-source,445787.960795382
55296188,VNM,2026,co2,20.1846916898056,105.941670925115,manufacturing,cement,integrated dry,point-source,445585.40709926235
42547374,VNM,2026,co2,20.1293528160236,105.866897668803,manufacturing,cement,integrated dry,point-source,438365.9308479146
42547291,VNM,2026,co2,20.5549373320002,105.841670457676,manufacturing,cement,integrated dry,point-source,436624.84035644203
32439384,VNM,2026,co2,11.7142535614396,106.549897817927,manufacturing,cement,integrated dry,point-source,414082.7525244009
1934923,VNM,2026,co2,20.812177,107.139479,transportation,domestic-shipping,,point-source,397766.1013343933
32439402,VNM,2026,co2,21.4413312381253,106.296646936883,manufacturing,cement,integrated dry,point-source,395816.32284080033
32439369,VNM,2026,co2,16.5075564111402,107.466077300654,manufacturing,cement,integrated dry,point-source,388248.83491587045
32439371,VNM,2026,co2,21.016593942106,106.70497502097,manufacturing,cement,integrated dry,point-source,386452.3171043753
1898111,VNM,2026,co2,20.4036811297925,105.901421066582,manufacturing,cement,integrated dry,point-source,385413.577492849
449761,VNM,2026,co2,10.5975,107.0352,power,electricity-generation,"gas, other_fossil",point-source,378420.0
32439385,VNM,2026,co2,21.0244711090803,107.091301579829,manufacturing,cement,integrated dry,point-source,377690.48821647983
42547344,VNM,2026,co2,20.5120937831914,105.869507059281,manufacturing,cement,integrated dry,point-source,376763.98161823396
5076315,VNM,2026,co2,17.486874580000006,106.2623088728663,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,376407.1186295544
1898082,VNM,2026,co2,11.6266849940552,106.393006424778,manufacturing,cement,integrated dry,point-source,366599.2275458904
450274,VNM,2026,co2,10.603,107.04,power,electricity-generation,"gas, other_fossil",point-source,363350.0
25452804,VNM,2026,co2,21.613,105.8151,power,electricity-generation,coal,point-source,362760.0
1898091,VNM,2026,co2,20.2018164134663,105.935997379662,manufacturing,cement,integrated dry,point-source,357777.679363941
25452803,VNM,2026,co2,21.6981,106.9759,power,electricity-generation,coal,point-source,354490.0
34014776,VNM,2026,co2,20.840643759306072,106.76882831524298,transportation,international-shipping,,point-source,343731.55546842783
42547174,VNM,2026,co2,9.95522441078874,105.847957180282,manufacturing,cement,integrated dry,point-source,327620.853581073
25454890,VNM,2026,co2,21.5969,105.7666,power,electricity-generation,coal,point-source,319200.0
8252529,VNM,2026,co2,12.679979325000062,107.77109315380918,forestry-and-land-use,forest-land-fires,,gadm-aggregation,308971.3921292649
5075891,VNM,2026,co2,22.251026153500135,103.35199131309906,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,298623.3266964507
45117958,VNM,2026,co2,10.37862,107.11133,transportation,domestic-shipping,,point-source,298277.20581776835
5076334,VNM,2026,co2,15.388120175000065,107.83729959005383,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,291832.7466561972
32439391,VNM,2026,co2,19.2754651998058,105.705177296436,manufacturing,cement,integrated dry,point-source,291348.1750648861
3166267,VNM,2026,co2,11.9982,109.219002,transportation,international-aviation,international,point-source,285317.2530161916
5075927,VNM,2026,co2,12.04258537350006,108.13132566934985,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,269683.6166054526
5073884,VNM,2026,co2,21.827882767500082,103.14418741564722,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,269234.2081803747
42741869,VNM,2026,co2,12.5993850094145,107.940919363058,manufacturing,iron-and-steel,"EAF,BF/BOF",point-source,268944.26182057126
3166292,VNM,2026,co2,16.0439,108.198997,transportation,international-aviation,international,point-source,264606.6897395547
34002836,VNM,2026,co2,20.840643759306072,106.76882831524298,transportation,domestic-shipping,,point-source,262959.07885128475
32439357,VNM,2026,co2,16.5397996613914,107.370017224095,manufacturing,cement,integrated dry,point-source,262758.790918945
449762,VNM,2026,co2,10.604,107.037,power,electricity-generation,"gas, other_fossil",point-source,260410.0
8253151,VNM,2026,co2,19.317995072500054,105.16497618798445,forestry-and-land-use,forest-land-fires,,gadm-aggregation,257183.479780173
1567182,VNM,2026,co2,22.3073515366947,104.130185317432,manufacturing,iron-and-steel,BF/BOF,point-source,253773.90163972072
32439392,VNM,2026,co2,20.1473265594068,105.873700317052,manufacturing,cement,integrated dry,point-source,229334.5975067511
