date, pm25, pm10, o3, no2, so2, co
2021/10/6, , , 14, 2, 2, 
2021/10/7, , , 16, 1, 2, 
2021/10/8, , , 17, 1, 2, 
2021/10/9, , , 13, 4, 2, 
2021/10/10, , , 9, 3, 2, 
2021/10/11, , , 12, 1, 2, 
2021/10/12, , , 13, 1, 2, 
2021/10/13, , , 14, 1, 2, 
2021/10/14, , , 14, 2, 2, 
2021/10/15, , , 13, 1, 2, 
2021/10/16, , , 14, 1, 2, 
2021/10/17, , , 14, 2, 2, 
2021/10/18, , , 11, 8, 3, 
2021/10/19, , , 9, 8, 2, 
2021/10/20, , , 12, 1, 2, 
2021/10/21, , , 13, 1, 4, 8
2021/10/22, , , 31, 6, 8, 8
2021/10/23, , , 30, 4, 7, 8
2021/10/24, , , 36, 16, 11, 9
2021/10/25, , , 37, 19, 9, 10
2021/10/26, , , 44, 18, 10, 10
2021/10/27, , , 34, 7, 6, 9
2021/10/28, , , 31, 13, 7, 11
2021/10/29, , , 21, 4, 6, 10
2021/10/30, , , 26, 11, 8, 11
2021/10/31, , , 22, , , 
2021/9/30, , , 12, 4, 2, 
2021/9/29, , , , 3, 2, 
